time, x1, y1, z1, x2, y2, z2, x3, y3, z3, x4, y4, z4
0.65953, 0.05469, -0.14062, 0.92188, 0.05469, -0.10938, 0.85156, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.66006, 0.03906, -0.13281, 0.88281, 0.03906, -0.09375, 0.89062, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.66060, 0.03906, -0.12500, 0.92188, 0.03906, -0.07812, 0.89062, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.66114, 0.04688, -0.12500, 0.90625, 0.03125, -0.07812, 0.88281, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.66168, 0.01562, -0.11719, 0.88281, 0.03125, -0.07031, 0.90625, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.66222, 0.05469, -0.11719, 0.91406, 0.02344, -0.06250, 0.85938, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.66275, 0.03125, -0.10938, 0.91406, 0.03906, -0.09375, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.66332, 0.03125, -0.10938, 0.89844, 0.05469, -0.10156, 0.86719, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.66385, 0.03906, -0.12500, 0.92188, 0.02344, -0.08594, 0.89062, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.66438, 0.02344, -0.10938, 0.90625, 0.03125, -0.07031, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.66494, 0.03906, -0.13281, 0.87500, 0.03906, -0.07031, 0.88281, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.66549, 0.04688, -0.13281, 0.88281, 0.03906, -0.08594, 0.86719, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.66602, 0.03125, -0.12500, 0.92969, 0.03906, -0.09375, 0.89844, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.66656, 0.03906, -0.11719, 0.92969, 0.03906, -0.07812, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
